Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","1961","1961","ha","375000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","1961","1961","kg/ha","7250.7","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","1962","1962","ha","365000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","1962","1962","kg/ha","6704.1","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","1963","1963","ha","413000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","1963","1963","kg/ha","8147.7","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","1964","1964","ha","415000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","1964","1964","kg/ha","6248.2","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","1965","1965","ha","429000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","1965","1965","kg/ha","8403.3","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","1966","1966","ha","479000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","1966","1966","kg/ha","8509.4","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","1967","1967","ha","473300","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","1967","1967","kg/ha","7440.3","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","1968","1968","ha","501400","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","1968","1968","kg/ha","8441","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","1969","1969","ha","524400","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","1969","1969","kg/ha","9011.3","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","1970","1970","ha","496000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","1970","1970","kg/ha","7888.3","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","1971","1971","ha","481900","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","1971","1971","kg/ha","9975.5","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","1972","1972","ha","491900","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","1972","1972","kg/ha","9809.9","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","1973","1973","ha","504600","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","1973","1973","kg/ha","8820.8","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","1974","1974","ha","543400","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","1974","1974","kg/ha","8945.7","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","1975","1975","ha","587400","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","1975","1975","kg/ha","10598.2","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","1976","1976","ha","622400","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","1976","1976","kg/ha","11738.4","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","1977","1977","ha","619600","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","1977","1977","kg/ha","11573.1","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","1978","1978","ha","665300","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","1978","1978","kg/ha","12228.2","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","1979","1979","ha","807100","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","1979","1979","kg/ha","12554.8","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","1980","1980","ha","685200","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","1980","1980","kg/ha","12152.1","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","1981","1981","ha","732000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","1981","1981","kg/ha","13210.4","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","1982","1982","ha","762700","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","1982","1982","kg/ha","12995.7","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","1983","1983","ha","735000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","1983","1983","kg/ha","13545.6","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","1984","1984","ha","794300","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","1984","1984","kg/ha","15298.8","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","1985","1985","ha","849000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","1985","1985","kg/ha","14806.4","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","1986","1986","ha","843000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","1986","1986","kg/ha","12363.9","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","1987","1987","ha","831500","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","1987","1987","kg/ha","15322.1","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","1988","1988","ha","885100","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","1988","1988","kg/ha","15869.4","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","1989","1989","ha","932700","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","1989","1989","kg/ha","15929","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","1990","1990","ha","940000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","1990","1990","kg/ha","15713.6","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","1991","1991","ha","935500","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","1991","1991","kg/ha","16254","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","1992","1992","ha","1135100","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","1992","1992","kg/ha","16029.4","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","1993","1993","ha","1240000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","1993","1993","kg/ha","14902.4","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","1994","1994","ha","1047100","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","1994","1994","kg/ha","16610.1","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","1995","1995","ha","1069400","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","1995","1995","kg/ha","16272","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","1996","1996","ha","1109000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","1996","1996","kg/ha","16991.3","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","1997","1997","ha","1248800","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","1997","1997","kg/ha","19391.3","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","1998","1998","ha","1208900","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","1998","1998","kg/ha","14602","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","1999","1999","ha","1280200","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","1999","1999","kg/ha","17571.2","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","2000","2000","ha","1340900","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","2000","2000","kg/ha","18644.3","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","2001","2001","ha","1211300","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","2001","2001","kg/ha","18362.7","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","2002","2002","ha","1259500","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","2002","2002","kg/ha","19417.3","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","2003","2003","ha","1337200","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","2003","2003","kg/ha","17320.8","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","2004","2004","ha","1484700","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","2004","2004","kg/ha","18809.1","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","2005","2005","ha","1523900","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","2005","2005","kg/ha","18890.8","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","2006","2006","ha","1569200","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","2006","2006","kg/ha","18592","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","2007","2007","ha","1742800","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","2007","2007","kg/ha","16410.1","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","2008","2008","ha","1796000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","2008","2008","kg/ha","19297.3","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","2009","2009","ha","1828300","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","2009","2009","kg/ha","18810.3","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","2010","2010","ha","1835300","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","2010","2010","kg/ha","19929.9","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","2011","2011","ha","1863200","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","2011","2011","kg/ha","22724","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","2012","2012","ha","1907000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","2012","2012","kg/ha","21753","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","2013","2013","ha","1992200","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","2013","2013","kg/ha","22760.6","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","2014","2014","ha","2024000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","2014","2014","kg/ha","22922.4","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","2015","2015","ha","2076000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","2015","2015","kg/ha","23125.7","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","2016","2016","ha","2117000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","2016","2016","kg/ha","20508.7","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","2017","2017","ha","2179000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","2017","2017","kg/ha","22306.1","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","2018","2018","ha","2142000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","2018","2018","kg/ha","23954.2","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","2019","2019","ha","2173000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","2019","2019","kg/ha","23097.1","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","2020","2020","ha","2051000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","2020","2020","kg/ha","23677.2","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","2021","2021","ha","2248000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","2021","2021","kg/ha","24123.7","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","2022","2022","ha","2226000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","2022","2022","kg/ha","25236.3","A","Official figure",""
